  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.45608E+03    0.16264E+04   194   283     2
    0.46285E+03    0.16493E+04   195   284     2
    0.46971E+03    0.16726E+04   196   285     2
    0.47666E+03    0.16961E+04   197   286     2
    0.48371E+03    0.17200E+04   198   287     2
    0.49086E+03    0.17687E+04   199   289     2
    0.49811E+03    0.17936E+04   200   290     2
    0.50546E+03    0.18189E+04   201   291     2
    0.51291E+03    0.18444E+04   202   292     2
    0.52046E+03    0.18704E+04   203   293     2
    0.52811E+03    0.18966E+04   204   294     2
    0.53587E+03    0.19233E+04   205   295     2
    0.54374E+03    0.19503E+04   206   296     2
    0.55172E+03    0.19777E+04   207   297     2
    0.55981E+03    0.20055E+04   208   298     2
    0.56801E+03    0.20621E+04   209   300     2
    0.57632E+03    0.20911E+04   210   301     2
    0.58475E+03    0.21204E+04   211   302     2
    0.59329E+03    0.21501E+04   212   303     2
    0.60195E+03    0.21803E+04   213   304     2
    0.61073E+03    0.22108E+04   214   305     2
    0.61963E+03    0.22418E+04   215   306     2
    0.62866E+03    0.22732E+04   216   307     2
    0.63780E+03    0.23051E+04   217   308     2
    0.64708E+03    0.23374E+04   218   309     2
    0.65648E+03    0.23701E+04   219   310     2
    0.66602E+03    0.24033E+04   220   311     2
    0.67568E+03    0.24369E+04   221   312     2
    0.68548E+03    0.25056E+04   222   314     2
    0.69541E+03    0.25406E+04   223   315     2
    0.70548E+03    0.25762E+04   224   316     2
    0.71569E+03    0.26122E+04   225   317     2
    0.72604E+03    0.26487E+04   226   318     2
    0.73653E+03    0.26858E+04   227   319     2
    0.74717E+03    0.27233E+04   228   320     2
    0.75796E+03    0.27613E+04   229   321     2
    0.76889E+03    0.27999E+04   230   322     2
    0.77997E+03    0.28390E+04   231   323     2
    0.79121E+03    0.28787E+04   232   324     2
    0.80260E+03    0.29189E+04   233   325     2
    0.81415E+03    0.29596E+04   234   326     2
    0.82586E+03    0.30010E+04   235   327     2
    0.83773E+03    0.30428E+04   236   328     2
    0.84977E+03    0.31284E+04   237   330     2
    0.86197E+03    0.31720E+04   238   331     2
    0.87434E+03    0.32163E+04   239   332     2
    0.88687E+03    0.32611E+04   240   333     2
    0.89959E+03    0.33066E+04   241   334     2
    0.91248E+03    0.33527E+04   242   335     2
    0.92554E+03    0.33994E+04   243   336     2
    0.93879E+03    0.34468E+04   244   337     2
    0.95222E+03    0.34949E+04   245   338     2
    0.96583E+03    0.35436E+04   246   339     2
    0.97963E+03    0.35929E+04   247   340     2
    0.99362E+03    0.36430E+04   248   341     2
    0.10078E+04    0.36937E+04   249   342     2
    0.10222E+04    0.37452E+04   250   343     2
    0.10368E+04    0.37973E+04   251   344     2
    0.10516E+04    0.38502E+04   252   345     2
    0.10665E+04    0.39038E+04   253   346     2
    0.10817E+04    0.39582E+04   254   347     2
    0.10971E+04    0.40133E+04   255   348     2
    0.11127E+04    0.40691E+04   256   349     2
    0.11286E+04    0.41832E+04   257   351     2
    0.11446E+04    0.42414E+04   258   352     2
    0.11609E+04    0.43004E+04   259   353     2
    0.11774E+04    0.43602E+04   260   354     2
    0.11941E+04    0.44208E+04   261   355     2
    0.12111E+04    0.44823E+04   262   356     2
    0.12282E+04    0.45446E+04   263   357     2
    0.12457E+04    0.46078E+04   264   358     2
    0.12633E+04    0.46719E+04   265   359     2
    0.12812E+04    0.47368E+04   266   360     2
    0.12994E+04    0.48027E+04   267   361     2
    0.13178E+04    0.48694E+04   268   362     2
    0.13365E+04    0.49371E+04   269   363     2
    0.13554E+04    0.50057E+04   270   364     2
    0.13746E+04    0.50753E+04   271   365     2
    0.13940E+04    0.51458E+04   272   366     2
    0.14137E+04    0.52173E+04   273   367     2
    0.14337E+04    0.52897E+04   274   368     2
    0.14539E+04    0.53632E+04   275   369     2
    0.14745E+04    0.54377E+04   276   370     2
    0.14953E+04    0.55132E+04   277   371     2
    0.15164E+04    0.55898E+04   278   372     2
