 
 # along tip axis: rho=0, s=   150.000000000000     
 35.50   -0.359395E-02    1.1833   -0.108E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 36.00   -0.359989E-02    1.2000   -0.108E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 36.50   -0.360593E-02    1.2167   -0.108E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 37.00   -0.361208E-02    1.2333   -0.108E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 37.50   -0.361832E-02    1.2500   -0.109E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 38.00   -0.362467E-02    1.2667   -0.109E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 38.50   -0.363113E-02    1.2833   -0.109E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 39.00   -0.363769E-02    1.3000   -0.109E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 39.50   -0.364435E-02    1.3167   -0.109E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 40.00   -0.365113E-02    1.3333   -0.110E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 40.50   -0.365801E-02    1.3500   -0.110E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 41.00   -0.366500E-02    1.3667   -0.110E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 41.50   -0.367211E-02    1.3833   -0.110E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 42.00   -0.367932E-02    1.4000   -0.110E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 42.50   -0.368665E-02    1.4167   -0.111E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 43.00   -0.369409E-02    1.4333   -0.111E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
 43.50   -0.370165E-02    1.4500   -0.111E+00 # z (nm) , Ez(1/nm)      , z/R, Ez/(V/R) 
