  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.22412E+03    0.55906E+03   211   293     2
    0.22670E+03    0.56519E+03   212   294     2
    0.22931E+03    0.57766E+03   213   296     2
    0.23195E+03    0.58399E+03   214   297     2
    0.23462E+03    0.59038E+03   215   298     2
    0.23731E+03    0.59685E+03   216   299     2
    0.24003E+03    0.60339E+03   217   300     2
    0.24279E+03    0.60999E+03   218   301     2
    0.24557E+03    0.62341E+03   219   303     2
    0.24838E+03    0.63022E+03   220   304     2
    0.25122E+03    0.63711E+03   221   305     2
    0.25409E+03    0.64407E+03   222   306     2
    0.25699E+03    0.65111E+03   223   307     2
    0.25993E+03    0.65822E+03   224   308     2
    0.26289E+03    0.66541E+03   225   309     2
    0.26588E+03    0.68001E+03   226   311     2
    0.26891E+03    0.68742E+03   227   312     2
    0.27197E+03    0.69492E+03   228   313     2
    0.27506E+03    0.70249E+03   229   314     2
    0.27818E+03    0.71015E+03   230   315     2
    0.28134E+03    0.71788E+03   231   316     2
    0.28453E+03    0.72570E+03   232   317     2
    0.28775E+03    0.73360E+03   233   318     2
    0.29101E+03    0.74965E+03   234   320     2
    0.29431E+03    0.75781E+03   235   321     2
    0.29763E+03    0.76605E+03   236   322     2
    0.30100E+03    0.77438E+03   237   323     2
    0.30440E+03    0.78279E+03   238   324     2
    0.30783E+03    0.79130E+03   239   325     2
    0.31130E+03    0.79989E+03   240   326     2
    0.31481E+03    0.80858E+03   241   327     2
    0.31835E+03    0.81736E+03   242   328     2
    0.32194E+03    0.83520E+03   243   330     2
    0.32556E+03    0.84426E+03   244   331     2
    0.32922E+03    0.85342E+03   245   332     2
    0.33291E+03    0.86267E+03   246   333     2
    0.33665E+03    0.87202E+03   247   334     2
    0.34043E+03    0.88148E+03   248   335     2
    0.34425E+03    0.89103E+03   249   336     2
    0.34810E+03    0.90068E+03   250   337     2
    0.35200E+03    0.91044E+03   251   338     2
    0.35594E+03    0.92029E+03   252   339     2
    0.35992E+03    0.94033E+03   253   341     2
    0.36394E+03    0.95050E+03   254   342     2
    0.36801E+03    0.96079E+03   255   343     2
    0.37212E+03    0.97118E+03   256   344     2
    0.37627E+03    0.98168E+03   257   345     2
    0.38047E+03    0.99229E+03   258   346     2
    0.38471E+03    0.10030E+04   259   347     2
    0.38900E+03    0.10139E+04   260   348     2
    0.39333E+03    0.10248E+04   261   349     2
    0.39770E+03    0.10359E+04   262   350     2
    0.40213E+03    0.10584E+04   263   352     2
    0.40660E+03    0.10698E+04   264   353     2
