    8.7000    0.259E+01174.00    0.129392E+00 1740.00    0.251627E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.7500    0.256E+01175.00    0.127786E+00 1750.00    0.248504E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.8000    0.253E+01176.00    0.126255E+00 1760.00    0.245527E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.8500    0.251E+01177.00    0.125643E+00 1770.00    0.244337E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.9000    0.248E+01178.00    0.124221E+00 1780.00    0.241572E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    8.9500    0.244E+01179.00    0.122222E+00 1790.00    0.237684E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.0000    0.259E+01180.00    0.129719E+00 1800.00    0.252263E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.0500    0.244E+01181.00    0.121837E+00 1810.00    0.236935E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.1000    0.239E+01182.00    0.119362E+00 1820.00    0.232123E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.1500    0.238E+01183.00    0.118762E+00 1830.00    0.230956E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.2000    0.235E+01184.00    0.117618E+00 1840.00    0.228731E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.2500    0.232E+01185.00    0.116066E+00 1850.00    0.225712E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.3000    0.230E+01186.00    0.115018E+00 1860.00    0.223675E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.3500    0.229E+01187.00    0.114463E+00 1870.00    0.222595E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.4000    0.228E+01188.00    0.114001E+00 1880.00    0.221697E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.4500    0.232E+01189.00    0.116094E+00 1890.00    0.225766E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.5000    0.223E+01190.00    0.111674E+00 1900.00    0.217172E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.5500    0.223E+01191.00    0.111616E+00 1910.00    0.217058E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.6000    0.222E+01192.00    0.111156E+00 1920.00    0.216164E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.6500    0.215E+01193.00    0.107282E+00 1930.00    0.208631E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.7000    0.217E+01194.00    0.108459E+00 1940.00    0.210919E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.7500    0.215E+01195.00    0.107640E+00 1950.00    0.209326E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.8000   -0.483E-01196.00   -0.241380E-02 1960.00   -0.469409E-05 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.8500    0.211E+01197.00    0.105583E+00 1970.00    0.205326E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.9000    0.210E+01198.00    0.104867E+00 1980.00    0.203933E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
    9.9500    0.206E+01199.00    0.103065E+00 1990.00    0.200430E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
   10.0000    0.206E+01200.00    0.103032E+00 2000.00    0.200366E-03 # s, E_mid: R,1/R;   nm, 1/nm; angs, Ha/Bohr
