  # rho, z,   i,  j,  code:  1=sphere, 2=cone, 3=cant, 4= edge
    0.18479E+03    0.57539E+03   214   316     2
    0.18687E+03    0.58829E+03   215   318     2
    0.18897E+03    0.59485E+03   216   319     2
    0.19110E+03    0.60149E+03   217   320     2
    0.19325E+03    0.60819E+03   218   321     2
    0.19543E+03    0.61497E+03   219   322     2
    0.19763E+03    0.62876E+03   220   324     2
    0.19985E+03    0.63577E+03   221   325     2
    0.20210E+03    0.64286E+03   222   326     2
    0.20437E+03    0.65003E+03   223   327     2
    0.20667E+03    0.65727E+03   224   328     2
    0.20899E+03    0.67200E+03   225   330     2
    0.21134E+03    0.67949E+03   226   331     2
    0.21372E+03    0.68707E+03   227   332     2
    0.21612E+03    0.69472E+03   228   333     2
    0.21855E+03    0.70246E+03   229   334     2
    0.22101E+03    0.71029E+03   230   335     2
    0.22349E+03    0.72621E+03   231   337     2
    0.22600E+03    0.73430E+03   232   338     2
    0.22854E+03    0.74248E+03   233   339     2
    0.23111E+03    0.75075E+03   234   340     2
    0.23370E+03    0.75912E+03   235   341     2
    0.23633E+03    0.76757E+03   236   342     2
    0.23898E+03    0.78477E+03   237   344     2
    0.24166E+03    0.79351E+03   238   345     2
    0.24438E+03    0.80235E+03   239   346     2
    0.24712E+03    0.81128E+03   240   347     2
    0.24989E+03    0.82032E+03   241   348     2
    0.25270E+03    0.82945E+03   242   349     2
    0.25553E+03    0.84803E+03   243   351     2
    0.25840E+03    0.85747E+03   244   352     2
    0.26130E+03    0.86702E+03   245   353     2
    0.26423E+03    0.87668E+03   246   354     2
    0.26719E+03    0.88644E+03   247   355     2
    0.27019E+03    0.89631E+03   248   356     2
    0.27321E+03    0.90629E+03   249   357     2
    0.27628E+03    0.92658E+03   250   359     2
    0.27937E+03    0.93689E+03   251   360     2
    0.28251E+03    0.94732E+03   252   361     2
    0.28567E+03    0.95787E+03   253   362     2
    0.28887E+03    0.96853E+03   254   363     2
    0.29211E+03    0.97931E+03   255   364     2
    0.29538E+03    0.99021E+03   256   365     2
    0.29869E+03    0.10012E+04   257   366     2
    0.30204E+03    0.10236E+04   258   368     2
    0.30542E+03    0.10350E+04   259   369     2
    0.30884E+03    0.10466E+04   260   370     2
    0.31230E+03    0.10582E+04   261   371     2
    0.31579E+03    0.10700E+04   262   372     2
    0.31933E+03    0.10819E+04   263   373     2
    0.32290E+03    0.10939E+04   264   374     2
    0.32652E+03    0.11061E+04   265   375     2
    0.33017E+03    0.11184E+04   266   376     2
    0.33387E+03    0.11434E+04   267   378     2
    0.33760E+03    0.11562E+04   268   379     2
    0.34138E+03    0.11690E+04   269   380     2
    0.34520E+03    0.11820E+04   270   381     2
    0.34906E+03    0.11952E+04   271   382     2
    0.35297E+03    0.12085E+04   272   383     2
    0.35692E+03    0.12219E+04   273   384     2
    0.36091E+03    0.12355E+04   274   385     2
    0.36494E+03    0.12493E+04   275   386     2
    0.36903E+03    0.12632E+04   276   387     2
    0.37315E+03    0.12914E+04   277   389     2
    0.37732E+03    0.13058E+04   278   390     2
    0.38154E+03    0.13203E+04   279   391     2
    0.38581E+03    0.13350E+04   280   392     2
    0.39012E+03    0.13498E+04   281   393     2
    0.39448E+03    0.13648E+04   282   394     2
    0.39889E+03    0.13800E+04   283   395     2
    0.40335E+03    0.13954E+04   284   396     2
    0.40786E+03    0.14109E+04   285   397     2
    0.41241E+03    0.14266E+04   286   398     2
    0.41702E+03    0.14424E+04   287   399     2
    0.42168E+03    0.14747E+04   288   401     2
    0.42639E+03    0.14911E+04   289   402     2
    0.43115E+03    0.15077E+04   290   403     2
    0.43597E+03    0.15245E+04   291   404     2
    0.44084E+03    0.15414E+04   292   405     2
    0.44576E+03    0.15585E+04   293   406     2
    0.45074E+03    0.15759E+04   294   407     2
    0.45577E+03    0.15934E+04   295   408     2
    0.46086E+03    0.16111E+04   296   409     2
    0.46601E+03    0.16290E+04   297   410     2
    0.47121E+03    0.16471E+04   298   411     2
    0.47647E+03    0.16655E+04   299   412     2
    0.48179E+03    0.16840E+04   300   413     2
    0.48717E+03    0.17216E+04   301   415     2
    0.49261E+03    0.17408E+04   302   416     2
    0.49811E+03    0.17601E+04   303   417     2
    0.50366E+03    0.17797E+04   304   418     2
    0.50929E+03    0.17995E+04   305   419     2
